Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
R Bailey,a month ago,5,I had a lovey chicken and Chipotle wrap.other half had a ham and cheese pennini. Great value and  very tasty. Very satisfied.,51,905,False,0,,£1–10,5,5,5,Not found
Diane Saxon,2 weeks ago,5,"Good simple food, quick service, never ending coffee n tea, warm and relaxing early morning.",33,9,False,0,,Not found,5,5,5,Not found
Harry Downs,6 months ago,5,Used the Spinning Mule for breakfast on 2 occasions. The menu was very varied and my daughter and I settled on porridge and fruit plus copious coffee. All very good but strange to be breakfasting at 0830 with folks on adjacent tables drinking pints of bear. It takes all kinds....,38,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
steve barlow,a month ago,5,Great place for a quick meal and cheap drinks. Decent value for the money.,164,15,False,0,,Not found,4,5,4,Not found
Keith Smith,a week ago,5,Nice Spoons. Central in Bolton. 5 minutes from Town Hall. Typical value for money.,390,58,True,0,,£1–10,Not rated,5,4,Not found
Ellen Croston Waterfield,a month ago,5,Had a nice breakfast good price.Service good staff very pleasant and nice and tidy.,340,506,True,0,,£1–10,4,5,4,Traditional Breakfast
vobchopper,3 months ago,5,"Best wether spoons breakfast I can remember having, very fresh even a runny egg, bacon cooked well, not the usual dried up gum cutters",96,2,False,0,,£1–10,5,5,4,Traditional Breakfast
Lily Rimmer,2 months ago,5,Steph was super helpful and the food was great!!!,2,1,False,1,https://lh5.googleusercontent.com/p/AF1QipP9COnGtkf5evGPDYUSvC8aXCkfNoQKoDJancTg=w900-h675-p-k-no,£10–20,5,5,5,Pizza
Liane Ray,a week ago,5,Really good breakfast great staff 😁,54,19,True,0,,£10–20,5,5,5,Not found
Jake Hancock,a month ago,5,Very clean and tidy place. Certainly one of the better Wetherspoons,21,6,True,0,,£10–20,5,5,5,Not found
ROBOX H,9 months ago,5,Ate here alone during business trip. The male staff who served me first class. Very friendly always asking if food was ok. Also dealt really well with a group of teens who were trying to damage gambling machines behind me. First class.,4,2,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Stephen Smith,3 months ago,5,"Great time, food ok and drinks reasonably priced",76,No photos count,True,0,,Not found,4,4,4,Not found
Jeffrey Fielding,a week ago,5,Nice ar warm on a cold night steak night,14,44,True,0,,£20–30,4,5,5,Not found
Stephen Kennedy,a month ago,5,"Typical Wetherspoons pub, decent food & excellent selection of beers.",50,45,True,0,,£1–10,3,4,3,Not found
Kerry Hatton,3 months ago,5,Great food toilets are a nightmare going all the way upstairs by time you get down you need toilet again,14,7,True,0,,Not found,5,5,5,Not found
Ian Charlton,5 months ago,5,"Excellent  service; enjoyed ultimate  beefburger, great  value  with added drink .",69,450,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Maria gruchalska,3 months ago,5,Much better than other wetherspoons establishments we have been in,15,No photos count,False,0,,Not found,Not rated,5,5,Not found
Brian Mills,2 weeks ago,5,Always great service and good food,13,No photos count,False,0,,£10–20,5,5,5,Traditional Breakfast
Terry Connor,a month ago,5,Very fair prices and good cuisine.,6,No photos count,False,0,,£10–20,5,5,4,"Fish and Chips, Traditional Breakfast"
Linda Drinkwater,4 months ago,5,"Nice food, service quick and very pleasant experience",81,74,True,0,,Not found,5,5,5,Not found
lynn sharlot,a month ago,5,great to go somewhere that has gluten free lager,54,No photos count,True,0,,Not found,Not rated,5,5,Not found
Barry Holland,a month ago,5,Good food and reasonably priced beer,30,15,True,0,,£20–30,5,5,5,Not found
rob harvey,a year ago,5,"Decent place .... Landlord was mint however I suspect that some of the older guys in there were gay ....didn't eat so I can't comment on that.  The absolute star of the place however was that half cast girl with the soul glow hair doo
She is absolutely beautiful and sweet with it too",30,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Danny Reilly,7 months ago,5,Great food at decent prices. Quick service after ordering through the QR code found easily on each menu!,10,3,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Tina Howard King,4 months ago,5,Lovely place to get something to eat or just a drink,122,57,True,0,,£10–20,5,5,5,"Pizza, And Chips"
martin bill,10 months ago,5,"Nicely decorated after refit,  polite staff, didn't eat but food looked nice and hot when delivered nearby.
Utilised the coffee and hot chocolate with free refills very great value.",209,48,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Tom,3 years ago,5,"Good food, cheap prices, nice place. Especially enjoyed the haggis with my breakfast",32,1,True,1,https://lh5.googleusercontent.com/p/AF1QipNcqVJielmLe53QKpvRbsVc4_wy7QeS2IepjGQr=w900-h675-p-k-no,Not found,Not rated,Not rated,Not rated,Not found
Connor Downs,3 years ago,5,"Standard spoons. Cheap food, quick service. Can be busy, but can't fault the price",383,1155,True,1,https://lh5.googleusercontent.com/p/AF1QipMoOGnSA1j1W4upl6g70-oIRH6mS_ueaYtKBB8l=w900-h675-p-k-no,Not found,Not rated,Not rated,Not rated,Not found
Simon Maxwell,a year ago,5,"Nice big spoons experience ! Very good bar staff, friendly and helpful.  Great selection of real ale all perfect, lovely and at very affordable prices.  Happy Days  !! 😊 …",18,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Peter Seddon,a year ago,5,"Nice freshly cooked breakfast. I never have hash browns and they always oblige by offering me an extra of my choice. Sausage, bacon, etc. First class!",2,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Chantelle Moss,6 months ago,5,So friendly ☺️ in there prices are so good food was great,123,39,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Jordan Lee,7 months ago,5,"Love every wetherspoons but i like the architecture of this one. Good food , good prices , and plug sockets with usb slots on each booth .",9,3,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Sonia H.,3 years ago,5,"It is a nice place to meet friends eat and drink.
The food and drinks always arrives quickly.
And the waiter who attended us was a nice guy, funny and polite, something that I never experienced in any pub, as they are always stressed doing their job, which is understandable. Sadly we didn't take his name to mention here, and say how nice it was.",196,785,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Will N,4 months ago,5,Fast service and cheap to drink here,9,No photos count,False,0,,£10–20,5,5,5,Not found
Debbie Tuson,6 months ago,5,"Service was second to none...
Food was great and very quick
Staff are fabulous",27,3,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Jason pugh,9 months ago,5,"You can't can't go wrong with a weatherspoons, good food, excellent selection of beers, wines and spirits at reasonable prices. Always a good time had.",181,990,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Helen H. Green,2 years ago,5,"I don't know how to express my praises for the staff at The Spinning Mule. My elderly dad collapsed whilst he was out with my daughter in Wetherspoons, Bolton. The manager, Sebastian and two female colleagues, went ABOVE AND BEYOND to help. I arrived to meet my daughter and dad before the ambulance turned up. I was so upset but the manager and staff were so caring. Forever in their debt, many thanks to them all. Also, they really enjoyed the food and real ales. The food here is excellent.",29,13,True,0,,Not found,Not rated,Not rated,Not rated,Not found
