Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Catherine McEwen,7 months ago,5,Very nice food good prices plenty of room would highly recommend.,135,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Darren Clarkson,6 months ago,5,Very quiet and food  is good reasonably priced.,14,14,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Diane,a year ago,5,"Lovely, very clean, comfy,  lovely hot chocolate, even better can continue to refill your cup, coffee, tea, chocolate etc., totally free, yes was nice",67,5,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Nola Moon,7 months ago,5,Great place. Great customer service. Very quick..delicious food highly recommend the saag aloo.,48,6,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Austin Simpson,8 months ago,5,"Was a wetherspoons
Menu is a lot better since changing hands

The coffee deal is great 1.50 unlimited refills",90,184,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Steven,a year ago,5,"Very impressed! Even though it was a busy lunchtime, we got our drinks after a minute having ordered on the app. Our food arrived a few minutes later. Great service",15,233,True,0,,Not found,Not rated,Not rated,Not rated,Not found
James Jones,3 weeks ago,5,"Good drop of ale and good food, excellent free house",126,No photos count,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Kharlos,7 months ago,5,Good atmosphere good food at reasonable prices.  Worth a try,106,5,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Bethany Fidler,2 months ago,5,I did not eat j was at glaston- bury,6,No photos count,False,0,,£1–10,Not rated,5,5,Not found
Jacqueline Cubici,4 years ago,5,"This is a big pub with lots of beer and drinks to choose from.  Beer and drinks are very cheap, and I don't know how we did not get drunk, but some in my group were at least tipsy, and they had a nap on the way back.. :) - Food is also very good value for money.  The only thing I didn't like is that my husband and son asked for two burgers and chips without asking me if I wanted anything to eat. :) The burger looked like  it was made with real meat and the chips were fresh chips and not reheated like you get in some pubs - I ended up picking chips and a bite of my husband's burger - he offer me a whole one, but I kept thinking about the amount of calories that the burger had and my dress would not had fit it me for the party that night.  The pub has big ""french"" doors, and in hot days, such as the one we went - they open then, so it was more like an open pub (obviously), you know what I mean.  The pub is in front of this beautiful and big church of Bury, I think  is the Bury parish church, just in case you drink to much and fancy proposing an marring your girlfriend/boyfriend, you don't have to go to far before you regret it.  we didn't visit the church as we had not enough time, and drinking beer after visiting the market was more important than visiting the church - we will have time for that in the next visit.   I wonder if in this Bury church, the marry and Bury too... I defiantly recommend it! :)",51,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
