Reviewer Name,Review Date,Star Rating,Review Text,Total Reviews by Reviewer,Total Photos by Reviewer,Is Local Guide,Number of Images,Image URLs,Price per Person,Food Rating,Service Rating,Atmosphere Rating,Recommended Dishes
Steve Flaxvert Cherry,8 months ago,5,Bit slow at bringing drinks to the table. But food was as fast as it is in other wetherspoons I've visited,81,288,True,4,"https://lh5.googleusercontent.com/p/AF1QipMMAcl5EwXzW-QCU1zW3YQGq4eh92sDIiNIl7UX=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipPOvzCoW6cHVMBI6URVZZqxMICQHmG36XM6Uh6p=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMi2FBasFRKHnM-48YWZj-hvdgNfdCfZkPcxwhU=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOc-poJKJAXWsHxdOe2giR4e1UqTvJEEapstnVR=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Salford Red Devil,2 months ago,1,"Ordered food at the bar, order was incorrect, when I informed the member of staff she said 'That's what you ordered' 2 of the 3 meals were cold. Would not recommend dining there!!. Staff need to be trained on Customer Service.",10,No photos count,False,0,,£1–10,1,1,1,Not found
Alan Lord,2 months ago,5,"Great place in the centre of Manchester and houses within the old printworks. Used to meet up with about 30 ex colleagues. We all enjoyed the atmosphere and would deffo go back again. Well worth a visit and the food is cheap, fast and tasty. Well done!",416,65,True,0,,£1–10,5,5,5,Burger
William Kay,2 months ago,4,Went here just for a drink and it was very busy. 11:00 am. Very good service and the place is kept very clean. Good options of a meal with a drink. Free wifi.,169,863,True,0,,£1–10,Not rated,5,5,Not found
Rob Barnes,5 months ago,4,"Decent value for money.
Food was prepared quickly, warm, edible and had flavour (katsu curry).
People need to bear on mind that if you pay Peugeot prices, don't expect a Porsche.",78,30,True,0,,Not found,Not rated,Not rated,Not rated,Not found
Cheryl Whitehead,a month ago,1,"I was at seven stars Wetherspoon  with my family the only time I get to see my family was spoilt by a manager speaking to someone calling them a liar then shouting at them as they were leaving this was in front of other customers!
We had food that was cold and bland ! I will never go to Wetherspoon seven stars again ! Disgusting behaviour from a manager",10,No photos count,False,0,,£20–30,Not rated,Not rated,Not rated,Not found
Tristan Quinn (Campagquinn),5 days ago,5,Simply one of the best people watching places in town.  Love it.   Good pint too,104,188,True,0,,£1–10,5,5,5,Burger
Luke Matthews,4 months ago,5,"Great pub in the printworks. Good food choice of usual pub fare. Excellent choice of lagers, ales, wines and spirits. Seating is good. Disabled access is tight as is the entrance. Toilets are upstairs. Recommended.",312,2668,True,0,,£1–10,4,5,5,"Burger and Fries, Fish and Chips, Chicken Tikka Masala"
Linda Jones,a month ago,5,"Brilliant place, food was hot, service rapid and the lad serving me explained where coffee station and where to find sauce. Everwhere clean and tidy",16,No photos count,False,0,,£1–10,5,5,5,Chicken Tikka Masala
David Nuttall,2 months ago,4,Food and service was excellent as always. Played on the fruit machine which developed problems. Reported the problem to a manager who took my details. Still waiting for a resolution,3,No photos count,False,0,,£10–20,5,5,4,"Mixed Grill, Burger"
Steve Newsham,2 months ago,4,Excellent table service with app. Great friendly atmosphere. Toilets upstairs but can accommodate disabled downstairs. Open till late at weekend.,41,11,True,1,https://lh5.googleusercontent.com/p/AF1QipNa3ZJN3lg6Dy79FpMKxG_Ctdw4CcQGUuJXTIKL=w900-h675-p-k-no,Not found,4,5,5,Not found
Steve Clarke,4 years ago,2,"Was hoping for a relaxing meal with Mrs C however what we received was anything but. Quality of food left a lot to be desired, I'm sure tripple cooked chips would command a premium elsewhere, dessert was poor and I have lost count of how many times I've heard the f word in the last half hour from several tables, dissappointing that the staff have not tried to calm things down a little. Poor food and disturbing atmosphere.",242,699,True,3,"https://lh5.googleusercontent.com/p/AF1QipPhTQB_kRO7gEnnpGWToCRVGqsBoFzg8Y-kjy9M=w450-h675-p-k-no,https://lh5.googleusercontent.com/p/AF1QipMiph3XPRsK9vpxyByBpulaAP2ek215DhXf7QG1=w450-h338-p-k-no,https://lh5.googleusercontent.com/p/AF1QipOqi7o5_wqUHy0X12isC-QmYkG19clg6hUy7MSk=w450-h338-p-k-no",Not found,Not rated,Not rated,Not rated,Not found
Danny Shortt,2 weeks ago,4,It's a spoons it does what it says on the tin...good food reasonably priced ans served with a smile...,72,1,True,0,,Not found,4,5,4,Not found
gsp8181,3 months ago,1,Toilet attendant got weirdly angry that I wouldn’t give him any money for the massive task of handing me a piece of tissue paper. I think I’m capable of drying my hands on my own and don’t need to pay money for it. None of the toilets had paper in either,35,No photos count,False,0,,Not found,Not rated,Not rated,Not rated,Not found
Edward Giles,5 months ago,5,You can't beat Wetherspoons for value and service and this one was no different. We were served in quick time and the food was good. The place was very clean and the staff were friendly would deffo visit here again when I next venture to Manchester.,148,20,True,0,,£1–10,5,5,5,"Burger and Fries, Classic Burger and Chips, Burger, Golden Ale"
Mandy “MandyMoo” Whittaker,2 months ago,3,"Gets busy, value for money drinks, our food wasn't great the burger was a bit like an old shoe without its laces.. would re-visit but wouldn't eat..",86,7,True,0,,£20–30,1,3,4,Not found
